time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551430738.629442,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.63154,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631578,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631591,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631604,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631613,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631622,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631635,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631645,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631657,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631667,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631677,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631688,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631697,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.631707,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.634069,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.634234,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.634269,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.634285,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.634303,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.634317,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.634364,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.634383,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636329,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636397,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636411,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636421,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636431,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636448,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.63646,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636468,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636475,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636483,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430738.636492,6,1418,216.58.211.54,192.168.1.149,443,53954
